id,tweet,isVulgar,emoScore
7921,i hate the new iphon upgrad will not let me download ap ugh appl suck,0,0
7922,current shit my fuck pant appl imac cashmoney radest swagswagswag,0,0
7923,i would like to put some cdrom on my ipad is that possibl   yes but would not that block the screen,0,0
7924,my ipod is offici dead i lost all my pictur and video from the digit d and digit sos concert and from vet camp hatinglif sob,0,0
7925,been fight itun all night i only want the music i bad paid for,1,0
7926,repost with repostap to announc we will have our appl bourbon,0,0
7927,this new appl softwar updat is realli doing thing to my phone bad thing appl,0,0
7928,babi iphon iphon digit s gold new appl apleisbest digit gb geg nt aah,0,0
7929,i am confus why did i have to take the time to set a appoint to still be wait her digit minut after the fact,0,0
7930,fruit just tast better when you pick it yourself appl healthi fruit nyc by,0,0
7931,con mi budi   edgar buddi friend viviendo taller friend hug soni smile sonrisa,0,0
7932,mymomisgreatbecaus she alway care about me and do anyth for me follow mothersday mustfolow mothersday iphon tweet,0,0
7933,kiss   romanc   hot   movi   iphon   sex   porn lust matur woman is get nail intens in a mission,0,0
7934,hold to hope when a love one is news photographi fashion health failur tech ipad iphon funni lol,0,0
7935,new phone case me selfi guy dude smile teeth cute samsung galaxi digit british flag vint,0,1
7936,this shoot from my son digit at swarovski kristalwelten photo iphon digit plus swarovski,0,0
7937,found this photo of me not mine still its me it is new snoopi appl cup charact cute,0,0
7938,digit fuck iphon charger     none work is this a fuck joke thank god my ihom work for now appl,0,0
7939,i can not buy a song off itun without having to go through digit fuck secur verif,0,0
7940,check out the justin layman ap  via iphon android jlay music newmus facebook origin cmtawa,0,0
7941,good morn golden octob me new rosegold coffe gorgeous iphon digit s digit gb appl lucki,0,0
7942,got to ride my hors proper for the first time in age today hors look it iphone,0,0
7943,got my iphon screen fix get into bed phone fall  cracked  what a bad iphon,1,0
7944,samsung perman stop galaxi note digit product read more samsung samsungblast,0,0
7945,can i just add that right after i tweet about want to jailbreak my iphon it becam unrespons hateitun,0,0
7946,digit do one of the best ap for the iphon it,0,1
7947,digit discount zazl promot promocod discount honey iphon phonecas iphonex yellow summer godvib positivevib thursdayaesthet cool trend cute fashion stylish teen hippi sumervib vacat lifestyl,0,0
7948,repost if you want to see the sunshin you have to weather the storm explor landscap photograph beauti outdoor getoutandexplor slowingitdown ludapix photographi england appl mac macbokpro hashtag nofilt iger nikor,0,0
7949,my iphon digit charger has broken i bought two new charger but they are fake and faulti lame appl,0,-1
7950,tapel just call me crazi lol j share smile iphon igdaili instagram instadaili in,0,0
7951,i do not rememb my phone crash this much before io digit thank appl stilbeterthanandroid,0,0
7952,will stevejob be how the aplev aplespecialev on got bug iphonex,0,0
7953,sunset one minut ago   europ zeland samsung sunset brouwersdam,0,1
7954,photo coldplay vidalavida spotifi music musica motox motorola feliz verygod best amo,0,0
7955,gain follow rt this must follow me i follow back follow everyon who rts gain iphon sougofolow qtl  ,0,0
7956,so the iphon digit requir you to have a simcard to activ it but digit digit of its function work fine without one appl,0,0
7957,i actual hate my ipad its such a useless piec of shit that never work,0,0
7958,gain follow rt this must follow me i follow back follow everyon who rts gain iphon sougofolow c digit z digit,0,0
7959,doug robinson exit madison launch new soni tvbase banner,0,0
7960,sunset vocat newyear trip thailand khaoko a digit ilc digit soni vsco snapsped,0,0
7961,happi birthday candi   birthday daughter rainbow cake big motorola photon android,0,0
7962,i am now list on check it out at write mobil iphon iphoneap apolici,0,0
7963,i love you grandma instadaili ig iphonegraphi iphonesia iphon indonesia instagramhub iger i,0,0
7964,having to restor my iphon from scratch despit back up let see how much i loos this time,0,0
7965,love new earphon enjoy music soni earphon music freak,0,0
7966,organ farm orang and appl snack  for more high qualiti photos,0,0
7967,fellow passeng own one introduc myself and happen to speak how amaz the big boy is oneplus grow strong,0,0
7968,new dress thank to momma appl dress litleblackdr dress bestmoma cute beauti,0,0
7969,final got the android digit digit updat for the moto mileston happi but came digit week late s android motorola,0,0
