id,label,tweet,isVulgar,isNonAscii
2,0,Finally a transparant silicon case ^^ Thanks to my uncle :) yay Sony Xperia S sonyexperias…,0,1
8,0,New Type C charger cable UK .uk/itm/-/112598674021 … bay Amazon etsy New Year Rob Cross Toby Young EVEMUN McMafia Taylor SPECTRE 2018 NewYear Starting 2018 recipes technology SamsungGalaxyS9 iPhoneX pic.twitter.com/PjIwq59WtC,0,1
9,0,Bout to go shopping again listening to music iphone justme music likeforlike followforfollow…,0,1
17,0,Like and Share if you want this 3D Phone Case for Iphone iphone s ... .php/product/2016-new-sweet-3d-mineral-water-bottle-love-ice-cream-phone-case-couples-soft-silicone-rubber-case-for-iphone-7-6-6s-plus-5-5se/ …pic.twitter.com/gFKN0Yec6J,0,1
18,0,"Go crazy !! iphonesia, iphone, instagood, instagram, photooftheday, tweegram, ,…",0,1
25,0,It's time for new wallpapers phone wallpapers wall screen galaxy samsung app …,0,1
29,0,do love a new phone case! flower green diamond pearls cute new iphone iphone4s case… -O/,0,1
31,0,Thank you! samsung live laugh life food philippines instago instahub instagram…,0,1
33,0,InstaPic by mimmo.al: Feb 2016 taken with sony rx100 direzioneverticale sunset sky beautiful fun …pic.twitter.com/CxiFIjj54g,0,1
40,0,No bull$&@*# InstaSize Leggings LightSkin CurlyHair iPhone BellyPiercing smile POTD…,0,1
41,0,"If they din’t create you, don’t let them destroy you. candid photo iphonex sunday sundayvibes smile always photooftheday eyes me ootd fashion blackandwhite poser attitude lifeisgood mylook mylife photoeveryday lookoftheday latepost mylifepic.twitter.com/MMHCqYad9B",0,1
45,0,Acquisto del week end. iphone8 iphone8plus apple gril moment italy…,0,1
46,0,Majestic We see it differently photography nature landscape forest hidden clearing view woods tree travel biker sony a7 ziess photo instgramhub picoftheday -tN/?utm_source=ig_twitter_share&igshid=soka2bd9sb8h …,0,1
50,0,follow me as I play BitCoinboy for the iphone ipad ipod free game fun Kansas Georgia …,0,1
51,0,"Would my NEW ""Talking Antoine"" iPhone app! Check it out now! 106 in the US Ent AppStore -antoine.html …",0,1
52,0,All At Once joy peace reflect remember sky cloud cloudhub skyhub tree gr$&@*# iphone…,0,1
53,0,Love you baby boy baby boy babyboy muesli hedgehog pet him iphone iphone7…,0,1
55,0,"thinner faster amazing, I hated iPad and will be getting one so ye…",0,1
57,0,Why is Black Friday called ‘Black Friday’?-is-black-friday-called-black-friday … BlackFridayDeals BlackFriday BlackFriday2017 news amazon shopping shop Christmas holidays gifts family friends NewYork business crowds money birthday tv iphone computer lifehacks school,0,1
58,1,"are you seriously so afraid of your profit going into someone else’s pocket that you make it to where other chargers “aren’t supported”. My phone is at 18% and my POS apple charger broke a month after getting the phone. Good job Apple, you",0,1
59,1,not having a phone is actually killing me and I am not paying £209 for a replacement,0,1
65,0,Geometry . . . . . . . . . . . . . . . iphoneography iphoneonly iPhoneography2018 streetphotography iphonephotography mobilephotography mobile iphone apple colors bright … ?utm_source=ig_twitter_share&igshid=quadeby0r4ec …,0,1
72,0,"Be the light for my way, please. . . . . . lamp light photooftheday instagood life pekanbaru riau indonesia photography streetphotography sony a6000 sonya6000… ?utm_source=ig_twitter_share&igshid=1g2cumgyriqbc …",0,1
73,0,New acquisition iphone 5s gold apple it phone brussels potd picoftheday…,0,1
79,0,I’m not happy at all with I’ve had my tumble dryer for 4 months it’s been replaced already and the same problem has occurred again. Iwant this issue resolved and want to be able to return this product back to samsung Im not,0,1
80,0,Retweet a7sll sony sonya7s2 throwback shoot blury nature pic photos girl smile art …pic.twitter.com/3bTEw6B4KX,0,1
82,0,Commonwealth Games: Skye Nicolson wins boxing gold in memory of her dead brothers – Commonwealth Games 2018 adaptive galatasaray iherborder Samsung PresidentTrump -games-skye-nicolson-wins-boxing-gold-in-memory-of-her-dead-brothers-commonwealth-games-2018/ …,0,1
84,0,Love it finally enjoying my game!!!! ps3 tombraider laracroft playstation samsung gamer …,0,1
87,0,New item recommends iphone apple earphone earpods white lifestyle amazing…,0,1
96,0,New Models byhilalak earphones urbanears handmade hayatinarenkkat iphone sony …,0,1
99,0,Happiness in a box!!! Yey!!! me phone sony xperia sonyxperiaZ new blessed…,0,1
100,0,feliz sábado con café saturday with coffee and pantry iphonex ?utm_source=ig_twitter_share&igshid=aby8xrg10o0a …,0,1
101,0,dreamy effect created straight from the iPhone. impressive? spring flower blossom…,0,1
102,0,Finalllllly my Note 4 is here :) note4 samsung galaxy galaxynote4 awsome beamman best…,0,1
103,0,Special App For valentine >> ?mt=8 … fashion nowplaying daughter poem valentine iphone αγάπη 27,0,1
105,0,Lunch in the park apple carrot banana and my lovely dogs trees autumn leaves…,0,1
